# id_;A_WSTGEN;A_BLTUP;A_ENGY;E_INTINV;E_NETINC;E_RDEXPE;E_GDPDP;E_RSKPOV;S_EPLY;S_EDUTRT;S_PBLEXP;S_LWRATT;S_EXPELD
0.0000;534.0000;9028.0000;150771.2000;19.9800;88.0000;2.2900;26.9000;19.3000;69.5000;44.0000;5.6800;24.9000;0.3500
1.0000;552.0000;1783.0000;27341.7000;21.2200;83.5000;2.8400;21.4000;16.9000;75.5000;27.3000;5.8000;16.9000;1.0000
2.0000;456.0000;2173.0000;36596.5000;20.7200;83.5000;2.2400;26.2000;21.0000;67.2000;42.7000;6.5500;27.2000;0.0500
3.0000;460.0000;1037.0000;9240.9000;21.5500;82.7000;0.6400;45.5000;49.1000;63.5000;29.4000;3.8200;18.2000;0.0400
4.0000;663.0000;231.0000;1757.8000;16.6400;91.0000;0.4600;4.3000;24.6000;67.1000;47.8000;7.8700;21.5000;0.0400
5.0000;308.0000;1229.0000;24056.4000;24.1300;74.1000;1.8800;26.2000;15.3000;72.5000;26.7000;4.5100;7.2000;0.5400
6.0000;611.0000;9184.0000;213076.5000;18.1300;87.3000;2.9800;28.4000;19.9000;77.1000;33.1000;4.9800;13.7000;0.1500
7.0000;668.0000;1009.0000;14122.3000;17.3500;86.1000;2.9800;21.1000;18.9000;75.6000;43.4000;8.7500;21.7000;1.6800
8.0000;279.0000;195.0000;2869.7000;23.5900;80.2000;2.1800;42.1000;23.1000;73.3000;43.7000;5.1600;9.4000;0.0800
9.0000;503.0000;1394.0000;17129.3000;15.1500;78.5000;0.6900;27.0000;31.0000;53.2000;34.6000;4.0900;32.8000;0.0900
10.0000;464.0000;6268.0000;83127.1000;20.7100;81.9000;1.3000;19.5000;27.7000;58.2000;40.7000;4.8200;44.8000;0.4500
11.0000;506.0000;951.0000;25259.7000;19.4100;84.4000;3.5500;18.7000;17.9000;73.3000;45.1000;6.7600;14.1000;0.6900
12.0000;402.0000;1565.0000;14811.0000;17.9100;78.4000;1.3000;44.0000;31.0000;63.2000;31.9000;4.7100;17.5000;0.3200
13.0000;570.0000;842.0000;10720.3000;10.6300;71.1000;1.7200;35.1000;29.4000;65.5000;52.6000;6.1500;23.3000;0.2500
14.0000;529.0000;8188.0000;119007.9000;19.0700;82.1000;1.2700;25.2000;28.2000;59.8000;22.4000;4.2900;41.8000;0.1400
15.0000;469.0000;378.0000;4831.5000;18.0300;83.4000;0.9000;24.8000;33.1000;69.9000;51.3000;5.1700;6.6000;0.4400
16.0000;662.0000;69.0000;4177.3000;18.5400;56.3000;1.4600;4.3000;16.8000;71.1000;52.5000;3.1500;19.5000;0.0400
17.0000;301.0000;189.0000;4027.1000;21.3300;84.9000;0.6600;36.9000;40.1000;69.7000;40.7000;4.9300;10.6000;0.1700
18.0000;589.0000;60.0000;461.2000;15.1100;80.9000;0.8400;4.3000;22.1000;64.9000;26.0000;8.0400;59.0000;0.5200
19.0000;551.0000;1746.0000;51133.1000;17.8400;85.5000;2.1600;18.3000;15.7000;76.5000;43.1000;5.9300;24.2000;0.7200
20.0000;314.0000;4597.0000;63635.4000;20.2000;85.6000;0.9000;34.9000;27.2000;64.9000;40.5000;4.9400;9.9000;0.2200
21.0000;453.0000;2120.0000;16151.6000;17.9900;78.2000;1.5000;27.9000;24.4000;65.6000;29.2000;5.2700;60.0000;0.2500
22.0000;389.0000;2454.0000;22698.0000;25.9700;79.8000;0.4900;40.0000;40.3000;63.9000;22.8000;3.0700;23.7000;0.0400
23.0000;462.0000;1637.0000;32375.8000;18.7000;89.1000;3.4100;17.3000;16.1000;79.8000;48.3000;6.8200;16.8000;2.3300
24.0000;362.0000;158.0000;4855.0000;18.5900;82.6000;2.8000;21.6000;19.3000;67.2000;40.1000;5.6800;14.5000;0.1500
25.0000;324.0000;732.0000;10346.8000;23.1400;78.8000;0.8200;35.2000;20.6000;65.0000;26.9000;4.0600;8.1000;0.3600
26.0000;472.0000;5838.0000;133990.1000;14.3600;90.2000;1.7200;32.5000;22.7000;74.9000;47.6000;5.8800;21.6000;0.5600
